,ID,dataset group name,Dataset Name,Host,Guest,Ex _G_(kcal/mol),Ex _G_SEM,EX _H_(kcal/mol),EX _H_SEM,pb_guest_Etot,pb_guest_VDWAALS,pb_guest_EELEC,pb_guest_EPB,pb_guest_ECAVITY,pb_host_Etot,pb_host_VDWAALS,pb_host_EELEC,pb_host_EPB,pb_host_ECAVITY,pb_complex_Etot,pb_complex_VDWAALS,pb_complex_EELEC,pb_complex_EPB,pb_complex_ECAVITY,gb_Complex_Etot,gb_Complex_1-4EEL,gb_Complex_EELEC,gb_Complex_EGB,gb_Complex_ESURF,gb_guest_Etot,gb_guest_1-4EEL,gb_guest_EELEC,gb_guest_EGB,gb_guest_ESURF,gb_host_Etot,gb_host_1-4EEL,gb_host_EELEC,gb_host_EGB,gb_host_ESURF,gb_delta_H,pb_delta_H,EX _delta_H_(kcal/mol),gb_Ex_difference,SQR_gbnsr6_Ex_difference,pb_Ex_difference
0,1,Mobley benchmarkset,cd-set1,acd,guest-1,-1.575,0.019,-2.17,0.05,-47.8832,-0.0564,16.4764,-65.7376,1.4344,-569.5795,-28.5717,-428.952,-117.2248,5.1691,-618.3035,-40.2895,-402.7811,-180.2048,4.9718,-124.2654,435.8248,-402.7811,-162.2809,4.9718,-37.2778,12.2487,16.4764,-67.4372,1.4344,-96.654,423.5761,-428.952,-96.4471,5.1691,-1.995000000000033,-0.8407999999999447,-2.17,0.17499999999996696,0.030624999999988436,1.3292000000000552
1,2,Mobley benchmarkset,cd-set1,acd,guest-2,-3.533,0.004,-4.19,0.02,-52.0758,-0.3831,11.5637,-65.0001,1.7438,-550.6551,-27.1334,-397.9784,-130.6159,5.0726,-611.2118,-44.0766,-376.0288,-196.0953,4.9888,-118.5231,428.9798,-376.0288,-176.463,4.9888,-37.1659,16.3135,11.5637,-66.7869,1.7438,-86.6549,412.6663,-397.9784,-106.4154,5.0726,-11.262399999999985,-8.480900000000133,-4.19,-7.072399999999985,50.01884175999979,-4.290900000000133
2,3,Mobley benchmarkset,cd-set1,acd,guest-3,-4.606,0.007,-5.46,0.03,-51.5323,-0.6493,11.3698,-64.3157,2.0628,-571.7392,-29.093,-429.3068,-118.4746,5.1352,-637.0949,-48.7146,-410.1856,-183.5218,5.327,-125.3753,443.1017,-410.1856,-163.6184,5.327,-35.816,16.8092,11.3698,-66.0578,2.0628,-93.1242,426.2925,-429.3068,-95.2452,5.1352,-15.407399999999996,-13.823400000000106,-5.46,-9.947399999999995,98.9507667599999,-8.363400000000105
3,4,Mobley benchmarkset,cd-set1,acd,guest-4,-2.13,0.016,-2.74,0.02,2.3898,-0.0159,11.2809,-10.2083,1.333,-558.4063,-29.6231,-416.5215,-117.3465,5.0849,-567.3484,-43.0228,-405.0136,-124.2571,4.9451,-112.615,389.7009,-405.0136,-102.2474,4.9451,-26.6261,-30.3678,11.2809,-8.8723,1.333,-88.8141,420.0687,-416.5215,-97.4461,5.0849,-10.558600000000013,-11.331900000000019,-2.74,-7.818600000000012,61.13050596000019,-8.591900000000019
4,5,Mobley benchmarkset,cd-set1,acd,guest-5,-2.51,0.06,-2.99,0.23,-3.228,-0.9041,5.6626,-9.5379,1.5514,-569.257,-28.8169,-435.9689,-109.5594,5.0881,-586.5335,-46.8309,-431.7111,-113.0057,5.0142,-105.4031,414.8143,-431.7111,-93.5205,5.0142,-11.5809,-10.9172,5.6626,-7.8776,1.5514,-96.3804,425.7315,-435.9689,-91.2312,5.0881,-14.551699999999983,-14.048500000000104,-2.99,-11.561699999999982,133.67290688999958,-11.058500000000103
5,6,Mobley benchmarkset,cd-set1,acd,guest-6,-1.506,0.036,-2.53,0.12,-56.4635,-0.18,20.7874,-78.389,1.3182,-567.7269,-29.5037,-421.3737,-122.0287,5.1792,-631.85,-43.3678,-423.2347,-170.2222,4.9746,-158.1727,409.1247,-423.2347,-149.0374,4.9746,-72.4224,-13.2848,20.7874,-81.2432,1.3182,-93.5818,422.4095,-421.3737,-99.7968,5.1792,-5.852599999999995,-7.659600000000069,-2.53,-3.3225999999999956,11.03967075999997,-5.129600000000069
6,7,Mobley benchmarkset,cd-set1,acd,guest-7,-3.38,0.005,-3.4,0.02,-71.4929,-0.7283,5.2092,-77.6277,1.6538,-558.3228,-32.1483,-398.7469,-132.4588,5.0312,-640.8398,-50.323,-413.3124,-182.1048,4.9003,-134.8209,432.7899,-413.3124,-159.1988,4.9003,-62.7235,10.4248,5.2092,-80.0113,1.6538,-77.6805,422.3651,-398.7469,-106.33,5.0312,-11.86330000000001,-11.024099999999976,-3.4,-8.46330000000001,71.62744689000016,-7.6240999999999755
7,8,Mobley benchmarkset,cd-set1,acd,guest-8,-4.622,0.017,-4.89,0.03,-70.047,-0.9808,7.8669,-78.9082,1.975,-562.3132,-29.7414,-421.1437,-116.5491,5.121,-646.9127,-50.1526,-423.2391,-178.6633,5.1423,-157.7192,421.0379,-423.2391,-160.6604,5.1423,-68.7585,2.5746,7.8669,-81.1751,1.975,-92.573,418.4633,-421.1437,-95.0137,5.1211,-15.818100000000015,-14.552499999999895,-4.89,-10.928100000000015,119.42336961000032,-9.662499999999895
8,9,Mobley benchmarkset,cd-set1,acd,guest-9,-1.685,0.018,-2.57,0.06,-40.7839,-0.1053,17.6653,-59.9458,1.602,-565.0316,-30.3947,-421.9704,-117.8831,5.2166,-607.1654,-45.8539,-391.3273,-175.0181,5.034,-88.1572,452.3543,-391.3273,-154.2182,5.034,-16.5074,25.8558,17.6653,-61.6305,1.602,-84.2186,426.4985,-421.9704,-93.9633,5.2166,-2.7851,-1.3498999999999342,-2.57,-0.21510000000000007,0.04626801000000003,1.2201000000000657
9,10,Mobley benchmarkset,cd-set1,acd,guest-10,-1.764,0.02,-2.68,0.07,15.6104,0.1404,75.8586,-61.9268,1.5382,-559.6313,-30.6008,-406.1717,-127.9066,5.0478,-545.949,-45.5654,-313.0269,-192.2877,4.931,-128.4127,351.8971,-313.0269,-172.2139,4.931,-56.3015,-70.0804,75.8586,-63.6179,1.5382,-83.124,421.9775,-406.1717,-103.9776,5.0478,-4.092199999999991,-1.9280999999999722,-2.68,-1.412199999999991,1.9943088399999747,0.751900000000028
