dataset group name,Dataset Name,Host,Guest,Ex _G_(kcal/mol),Ex _G_SEM,EX _H_(kcal/mol),EX _H_SEM,pb_guest_Etot,pb_guest_VDWAALS,pb_guest_EELEC,pb_guest_EPB,pb_guest_ECAVITY,pb_host_Etot,pb_host_VDWAALS,pb_host_EELEC,pb_host_EPB,pb_host_ECAVITY,pb_complex_Etot,pb_complex_VDWAALS,pb_complex_EELEC,pb_complex_EPB,pb_complex_ECAVITY,gb_Complex_Etot,gb_Complex_1-4EEL,gb_Complex_EELEC,gb_Complex_EGB,gb_Complex_ESURF,gb_guest_Etot,gb_guest_1-4EEL,gb_guest_EELEC,gb_guest_EGB,gb_guest_ESURF,gb_host_Etot,gb_host_1-4EEL,gb_host_EELEC,gb_host_EGB,gb_host_ESURF,gb_delta_H,pb_delta_H,EX _delta_H_(kcal/mol)
pdbbind,refined,10gs,guest-ligand,-1.113778794,NA,NA,NA,-565.2,-10.19,-416.9,-141.9,3.7375,-38133.7,-4077.87,-30493.17,-3651,87.992,-38748.103,-4143.6338,-31052.17,-3639,86.904,-16145.92,18479,-31052.17,-3659,86.904,-115.7,443.83,-416.9,-146.4,3.7375,-16042.9,18035,-30493.2,-3672.71,87.99,-42.8938,-49.203,
pdbbind,refined,1a1e,guest-ligand,-1.075055682,NA,NA,NA,-173.5,-11.4,-96.67,-69.91,4.4598,-18544.89,-1901.049,-13366.96,-3333,56.21,-18709.71,-1951.5817,-13515,-3300,56.513,-9777.168,7030.7,-13515,-3349,56.513,-320.2,-158.8,-96.67,-69.13,4.4598,-9499.4,7189.52,-13367,-3378.17,56.21,3.2993,8.68,
pdbbind,refined,1a30,guest-ligand,-0.875169014,NA,NA,NA,-645.4,-9.319,-381.1,-258,2.9765,-17583.27,-1777.04,-13675.69,-2180,49.291,-18061.711,-1837.5626,-14111.77,-2161,48.154,-6925.546,9349.5,-14111.77,-2211,48.154,-243.8,399.6,-381.1,-265.2,2.9765,-6881.34,8949.85,-13675.7,-2204.78,49.29,148.3904,166.959,
pdbbind,refined,1a4k,guest-ligand,-1.247664925,NA,NA,NA,-27.46,-6.018,74.349,-99.24,3.4485,-70604.77,-1084.34,-60991.39,-8730,201.02,-70665.774,-1141.4576,-61088.29,-8636,200.36,-29413.9,40101,-61088.29,-8627,200.36,-243,-219.1,74.349,-101.7,3.4485,-29189.9,40319.8,-60991.4,-8719.39,201,-32.0996,-33.544,
pdbbind,refined,1a4r,guest-ligand,-1.137671691,NA,NA,NA,486.88,-5.872,583.24,-93.54,3.0538,-33350.89,-1733.757,-27237.11,-4478,98.11,-32899.722,-1787.6642,-26744.93,-4465,97.569,-14436.74,16727,-26744.93,-4516,97.569,-801.8,-1294,583.24,-94,3.0538,-13647.6,18021,-27237.1,-4529.65,98.11,-35.3752,-35.712,
pdbbind,refined,1a4w,guest-ligand,-1.067001869,NA,NA,NA,-161.9,-13.46,-56.6,-96.31,4.4818,-18344.96,947.9481,-15870.81,-3481,58.703,-18531.722,882.3856,-16007.77,-3465,58.805,-10060.83,9388.6,-16007.77,-3500,58.805,-190.9,-41.84,-56.6,-96.97,4.4818,-9898.71,9430.46,-15870.8,-3517.07,58.7,-23.3225,-24.862,
pdbbind,refined,1a69,guest-ligand,-1.000624092,NA,NA,NA,-97.02,-2.845,-43.85,-52.52,2.189,-128115.2,-13888.75,-98137.74,-16309,219.87,-128198.16,-13930.183,-98271,-16216,219.08,-50899.54,63675,-98271,-16522,219.08,-73.49,18.823,-43.85,-50.65,2.189,-50847.1,63655.7,-98137.7,-16584.9,219.9,-17.538,14.06,
pdbbind,refined,1a8i,guest-ligand,-1.025026716,NA,NA,NA,-78.24,-2.901,-32.42,-44.92,2.0055,-145458,-17349.37,-116473.3,-11905,269.25,-145503.53,-17386.065,-116547.8,-11838,268.53,-71310.57,57025,-116547.8,-12056,268.53,-94.08,-21.77,-32.42,-41.9,2.0055,-71235,57046.9,-116473,-12077.8,269.3,-15.284,32.71,
pdbbind,refined,1a94,guest-ligand,-1.236308119,NA,NA,NA,-865.5,-26,-573.1,-272.9,6.4163,-17510.73,-1697.869,-13864.36,-1998,49.849,-18251.443,-1823.457,-14502.26,-1974,47.996,-7065.419,9405.6,-14502.26,-2017,47.996,-295.8,547.63,-573.1,-276.8,6.4163,-6979.18,8857.94,-13864.4,-2022.62,49.85,109.973,124.787,
pdbbind,refined,1a99,guest-ligand,-1.044279705,NA,NA,NA,-99.08,-0.778,98.513,-198.4,1.5623,-62802.5,-5088.007,-50167.37,-7679,131.4,-63003.448,-5129.3644,-50719.68,-7285,131.06,-24780.15,33300,-50719.68,-7492,131.06,-61.46,41.834,98.513,-203.4,1.5623,-24714,33258.5,-50167.4,-7936.52,131.4,-45.2694,-101.868,
pdbbind,refined,1a9m,guest-ligand,-1.160649462,NA,NA,NA,-270.1,-15.33,-146.1,-113.5,4.8458,-17511.71,-1719.555,-13958.24,-1884,49.641,-17744.395,-1818.228,-14118.31,-1855,47.552,-7285.736,8653.3,-14118.31,-1868,47.552,-304.8,-50.37,-146.1,-113.2,4.8458,-7107.12,8703.66,-13958.2,-1902.19,49.64,42.841,37.415,
pdbbind,refined,1aaq,guest-ligand,-1.276939024,NA,NA,NA,-535.3,-14.83,-419.9,-105.5,4.8508,-17260.9,-1689.483,-13675.8,-1945,49.26,-17765.516,-1776.6506,-14166.59,-1869,47.206,-6882.859,9115.3,-14166.59,-1879,47.206,-81.23,440.01,-419.9,-106.2,4.8508,-6909.21,8675.32,-13675.8,-1958,49.26,35.2434,30.684,
pdbbind,refined,1add,guest-ligand,-1.144835955,NA,NA,NA,-57.48,-3.351,-15.01,-41.44,2.3214,-33006.77,-3539.77,-25074.97,-4459,67.471,-32927.038,-3585.8113,-25132.08,-4276,66.828,-13432.4,16012,-25132.08,-4379,66.828,-95.04,-43.93,-15.01,-38.42,2.3214,-13547.1,16055.5,-25075,-4595.18,67.47,167.0497,137.212,
pdbbind,refined,1adl,guest-ligand,-1.007378385,NA,NA,NA,-87.82,-3.87,-8.572,-78.46,3.0749,-24677.66,-2224.085,-19347.22,-3175,68.899,-24805.641,-2271.3582,-19521.95,-3080,67.453,-10801.9,11778,-19521.95,-3126,67.453,-78.85,6.1612,-8.572,-79.51,3.0749,-10734.4,11772.3,-19347.2,-3228.4,68.9,-32.0532,-40.161,
pdbbind,refined,1ado,guest-ligand,-1.075055682,NA,NA,NA,-287.1,-0.557,-1.3,-286.9,1.5971,-131489.1,-14279.52,-105184,-12288,262.1,-131630.39,-14300.44,-104780.3,-12812,261.88,-52392.15,65186,-104780.3,-13060,261.88,-373.2,-84.55,-1.3,-289,1.5971,-52159.3,65270.9,-105184,-12508.3,262.1,119.987,145.81,
pdbbind,refined,1afk,guest-ligand,-1.134057222,NA,NA,NA,276.63,-5.734,419.33,-140.3,3.2956,-8114.507,2172.1043,-8591.452,-1730,35.028,-7851.9612,2131.4573,-8422.51,-1596,34.864,-5765.714,4232.2,-8422.51,-1610,34.864,-968,-1244,419.33,-146.4,3.2956,-4825.79,5476.43,-8591.45,-1745.8,35.03,-6.837,-14.0842,
pdbbind,refined,1afl,guest-ligand,-1.102421988,NA,NA,NA,321.71,-4.212,431.32,-108.6,3.1679,-8124.669,2204.8632,-8584.864,-1780,35.391,-7821.5457,2171.6991,-8275.576,-1753,35.071,-5804.817,4197.7,-8275.576,-1762,35.071,-974,-1299,431.32,-109.2,3.1679,-4850.75,5496.95,-8584.86,-1798.22,35.39,-9.0191,-18.5867,
pdbbind,refined,1ai4,guest-ligand,-0.549774439,NA,NA,NA,-90.77,-1.155,-1.371,-89.95,1.7099,-68887.67,-7658.756,-55173.85,-6195,140.36,-68986.722,-7683.8253,-55211.11,-6232,139.83,-29424.13,31958,-55211.11,-6311,139.83,-114.2,-24.47,-1.371,-90.06,1.7099,-29322.9,31982.8,-55173.9,-6272.21,140.4,-10.9443,-8.282,
pdbbind,refined,1ai5,guest-ligand,-0.788234201,NA,NA,NA,-66.88,-0.876,10.466,-78.28,1.811,-68957.94,-7666.057,-55306.8,-6125,140.08,-69044.708,-7695.1761,-55340,-6149,139.57,-29384.35,32057,-55340,-6241,139.57,-84.02,-16.04,10.466,-80.26,1.811,-29305.5,32072.8,-55306.8,-6211.66,140.1,-23.0731,-19.888,
pdbbind,refined,1ai7,guest-ligand,-0.845126982,NA,NA,NA,-1.045,-0.242,9.2827,-11.38,1.2975,-68873.07,-7674.293,-55168.07,-6170,139.46,-68880.577,-7693.8354,-55160.65,-6165,139.22,-29280.09,31997,-55160.65,-6256,139.22,-24.67,-24.81,9.2827,-10.44,1.2975,-29265.3,32022,-55168.1,-6258.78,139.5,-9.4204,-6.462,
pdbbind,refined,1aid,guest-ligand,-0.943664357,NA,NA,NA,-7.041,-4.643,54.471,-60.48,3.6084,-17441.21,-1699.34,-13902.1,-1890,50.207,-17456.447,-1747.2936,-13832.65,-1926,49.285,-7229.353,8502.3,-13832.65,-1948,49.285,-39.11,-37.97,54.471,-59.21,3.6084,-7223.16,8540.32,-13902.1,-1911.58,50.21,-10.3936,-8.196,
pdbbind,refined,1aj7,guest-ligand,-0.811952704,NA,NA,NA,-49.93,-2.452,52.871,-103,2.6532,-34458.24,482.2441,-30979.2,-4058,97.197,-34526.779,440.1084,-31114.29,-3949,96.691,-14683.49,20251,-31114.29,-3917,96.691,-260.2,-210.9,52.871,-104.8,2.6532,-14451.7,20462.3,-30979.2,-4031.92,97.2,-11.2737,-18.609,
pdbbind,refined,1ajn,guest-ligand,-0.580190308,NA,NA,NA,-41.98,-0.39,32.246,-75.62,1.7842,-68837.65,-7668.931,-54909.2,-6399,139.82,-68890.761,-7697.3715,-54872.3,-6460,139.3,-29393.32,31896,-54872.3,-6556,139.3,-92.91,-49.42,32.246,-77.51,1.7842,-29316.5,31945.2,-54909.2,-6492.36,139.8,-11.9605,-11.131,
pdbbind,refined,1ajp,guest-ligand,-0.481200951,NA,NA,NA,-101.5,-0.392,-2.116,-100.7,1.6963,-68907.3,-7653.785,-55213,-6181,140.07,-69006.29,-7677.1766,-55241.68,-6227,139.57,-29430.2,31979,-55241.68,-6307,139.57,-119,-18.14,-2.116,-100.4,1.6963,-29335.7,31996.9,-55213,-6259.65,140.1,1.5004,2.51,
pdbbind,refined,1ajq,guest-ligand,-0.876562742,NA,NA,NA,-78.51,-0.834,-0.626,-78.59,1.5408,-68977.18,-7676.303,-55252.89,-6188,139.75,-69077.812,-7702.186,-55296.96,-6218,139.4,-29449.55,32026,-55296.96,-6318,139.4,-70.2,9.3094,-0.626,-80.43,1.5408,-29382.8,32016.8,-55252.9,-6286.43,139.7,-21.599,-22.122,
