,Etot,1-4EEL,EELEC,EGB,ESURF,name
0,-81.3397,-11.39,8.9216,-80.4707,1.5994,OA-G0-guest-gb.txt
0,-72.0074,27.8351,-20.4055,-81.0641,1.6271,OA-G1-guest-gb.txt
0,-57.9793,51.6499,-31.1991,-80.3001,1.87,OA-G2-guest-gb.txt
0,-77.0548,-0.16,2.7593,-81.1664,1.5123,OA-G3-guest-gb.txt
0,-79.8608,-16.7874,14.7692,-79.8536,2.011,OA-G4-guest-gb.txt
0,-68.5062,13.2838,-2.6886,-80.6448,1.5434,OA-G5-guest-gb.txt
0,-80.1564,-1.3397,-0.2944,-80.0643,1.5421,OA-G6-guest-gb.txt
0,-59.4715,30.4473,-11.8317,-79.6878,1.6007,OA-G7-guest-gb.txt
0,-80.7694,-14.4177,12.4317,-80.3643,1.5809,TEMOA-G0-guest-gb.txt
0,-71.9811,27.8526,-20.4218,-81.0277,1.6158,TEMOA-G1-guest-gb.txt
0,-57.318,52.2806,-33.1588,-78.293,1.8532,TEMOA-G2-guest-gb.txt
0,-78.6297,0.0192,-0.2374,-79.9332,1.5218,TEMOA-G3-guest-gb.txt
0,-82.2346,-14.049,10.0373,-80.2815,2.0587,TEMOA-G4-guest-gb.txt
0,-71.0132,12.9647,-6.3426,-79.1633,1.528,TEMOA-G5-guest-gb.txt
0,-79.846,-1.3602,1.1837,-81.2084,1.5389,TEMOA-G6-guest-gb.txt
0,-60.725,31.1041,-16.1928,-77.2469,1.6106,TEMOA-G7-guest-gb.txt
0,22.904,78.9932,6.2776,-65.3414,2.9746,CB8-G0-guest-gb.txt
0,-43.4832,-99.4296,104.6164,-51.6771,3.0071,CB8-G1-guest-gb.txt
0,7.0329,61.2825,3.6662,-60.5327,2.6168,CB8-G2-guest-gb.txt
0,1.8368,92.8502,-35.1047,-58.7931,2.8844,CB8-G3-guest-gb.txt
0,46.6595,-2.5428,309.464,-264.6225,4.3608,CB8-G4-guest-gb.txt
0,-40.3715,-1.3654,18.6307,-59.4188,1.7821,CB8-G5-guest-gb.txt
0,-37.0227,-20.4242,44.1999,-62.3957,1.5973,CB8-G6-guest-gb.txt
0,-36.0657,-15.5185,38.7359,-60.9698,1.6868,CB8-G7-guest-gb.txt
0,-36.013,-22.8929,45.406,-60.6497,2.1236,CB8-G8-guest-gb.txt
0,-50.6755,-50.255,57.0318,-59.1104,1.6581,CB8-G9-guest-gb.txt
0,-84.5345,-146.1591,125.264,-65.4112,1.7718,CB8-G10-guest-gb.txt
0,-86.239,-45.4193,157.8995,-200.3369,1.6177,CB8-G11-guest-gb.txt
0,9.2574,49.2525,15.8391,-59.3579,3.5237,CB8-G12-guest-gb.txt
