,Etot,1-4EEL,EELEC,EGB,ESURF,name
0,-806.4039,65.3984,535.3459,-1415.5095,8.3613,OA-G0-host-gb.txt
0,-806.6051,65.3984,535.3459,-1415.7393,8.39,OA-G1-host-gb.txt
0,-805.8206,65.3984,535.3459,-1414.8857,8.3209,OA-G2-host-gb.txt
0,-806.0697,65.3984,535.3459,-1415.1642,8.3503,OA-G3-host-gb.txt
0,-806.2227,65.3984,535.3459,-1415.3158,8.3488,OA-G4-host-gb.txt
0,-805.8611,65.3984,535.3459,-1414.9245,8.3191,OA-G5-host-gb.txt
0,-806.3356,65.3984,535.3459,-1415.4116,8.3317,OA-G6-host-gb.txt
0,-805.7158,65.3984,535.3459,-1414.7954,8.3354,OA-G7-host-gb.txt
0,-799.7255,109.8633,432.2248,-1350.5267,8.7131,TEMOA-G0-host-gb.txt
0,-799.615,109.8633,432.2248,-1350.4146,8.7115,TEMOA-G1-host-gb.txt
0,-799.3354,109.8633,432.2248,-1350.1471,8.7236,TEMOA-G2-host-gb.txt
0,-799.8755,109.8633,432.2248,-1350.6424,8.6787,TEMOA-G3-host-gb.txt
0,-799.9564,109.8633,432.2248,-1350.7798,8.7352,TEMOA-G4-host-gb.txt
0,-800.5996,109.8634,432.2248,-1351.405,8.7173,TEMOA-G5-host-gb.txt
0,-799.4669,109.8633,432.2248,-1350.2394,8.6843,TEMOA-G6-host-gb.txt
0,-799.2132,109.8633,432.2248,-1350.0154,8.714,TEMOA-G7-host-gb.txt
0,-1275.5607,-2832.4453,1726.3218,-175.5876,6.1504,CB8-G0-host-gb.txt
0,-1275.3966,-2832.4453,1726.3218,-175.4896,6.2165,CB8-G1-host-gb.txt
0,-1275.761,-2832.4453,1726.3218,-175.8807,6.2432,CB8-G2-host-gb.txt
0,-1275.1356,-2832.4453,1726.3218,-175.2224,6.2103,CB8-G3-host-gb.txt
0,-1275.8894,-2832.4453,1726.3218,-176.008,6.2421,CB8-G4-host-gb.txt
0,-1275.9705,-2832.4453,1726.3218,-176.0548,6.2079,CB8-G5-host-gb.txt
0,-1275.1356,-2832.4453,1726.3218,-175.2906,6.2785,CB8-G6-host-gb.txt
0,-1274.9697,-2832.4453,1726.3218,-175.1339,6.2877,CB8-G7-host-gb.txt
0,-1275.1234,-2832.4453,1726.3218,-175.2083,6.2084,CB8-G8-host-gb.txt
0,-1275.4752,-2832.4453,1726.3218,-175.5746,6.223,CB8-G9-host-gb.txt
0,-1275.2788,-2832.4453,1726.3218,-175.4034,6.2481,CB8-G10-host-gb.txt
0,-1275.1772,-2832.4453,1726.3218,-175.3479,6.2942,CB8-G11-host-gb.txt
0,-1276.1637,-2832.4453,1726.3218,-176.2569,6.2167,CB8-G12-host-gb.txt
