,Etot,VDWAALS,EELEC,EPB,ECAVITY,name
0,-929.748,-13.8628,796.6482,-1720.6109,8.0775,OA-G0-pb.txt
0,-993.2964,-44.5459,754.8385,-1711.7474,8.1585,OA-G1-pb.txt
0,-1003.1659,-41.9959,735.9832,-1705.2512,8.098,OA-G2-pb.txt
0,-962.8553,-54.1113,797.8211,-1714.6011,8.036,OA-G3-pb.txt
0,-948.9724,-36.7354,788.2115,-1708.4984,8.05,OA-G4-pb.txt
0,-942.7482,-22.5777,792.3357,-1720.5493,8.0431,OA-G5-pb.txt
0,-968.8175,-52.6206,787.3431,-1711.5733,8.0334,OA-G6-pb.txt
0,-942.7098,-21.5619,785.3767,-1714.5253,8.0006,OA-G7-pb.txt
0,85.9087,1023.1527,694.18,-1639.828,8.404,TEMOA-G0-pb.txt
0,-1046.2841,-63.6693,643.9577,-1634.9557,8.3832,TEMOA-G1-pb.txt
0,-894.7087,98.7695,630.701,-1632.578,8.3988,TEMOA-G2-pb.txt
0,-905.6289,47.747,677.1139,-1638.8606,8.3709,TEMOA-G3-pb.txt
0,-991.5497,-36.1439,659.6692,-1623.5607,8.4857,TEMOA-G4-pb.txt
0,-999.4248,-41.2457,671.9177,-1638.4938,8.3971,TEMOA-G5-pb.txt
0,-982.0209,-30.9997,681.2785,-1640.668,8.3683,TEMOA-G6-pb.txt
0,-997.2011,-34.7688,666.4338,-1637.2541,8.388,TEMOA-G7-pb.txt
0,3051.9894,1550.888,1670.9842,-176.0102,6.1274,CB8-G0-pb.txt
0,1287336.379,1285726.872,1764.4629,-160.7995,5.8442,CB8-G1-pb.txt
0,1485.056,-37.6978,1662.9135,-145.9273,5.7676,CB8-G2-pb.txt
0,1840.2225,351.3125,1637.9863,-154.9384,5.862,CB8-G3-pb.txt
0,199875337.7,199873752.9,1852.4793,-274.303,6.5727,CB8-G4-pb.txt
0,1446.6907,-71.1716,1673.536,-161.3551,5.6814,CB8-G5-pb.txt
0,1474.7234,-73.8721,1709.7378,-166.9189,5.7765,CB8-G6-pb.txt
0,1462.267,-75.1637,1696.7623,-165.1105,5.7789,CB8-G7-pb.txt
0,1470.6753,-70.6721,1699.7389,-164.0704,5.679,CB8-G8-pb.txt
0,1487.8569,-65.736,1711.3958,-163.512,5.7092,CB8-G9-pb.txt
0,1542.4448,-75.969,1777.406,-164.6854,5.6932,CB8-G10-pb.txt
0,1449.6802,-70.6514,1743.1452,-228.7908,5.9772,CB8-G11-pb.txt
0,1468.4377,-64.0496,1685.238,-159.1673,6.4166,CB8-G12-pb.txt
