,effective-born-radii
0,0.36281693
1,0.56525544
2,0.35985579
3,0.39644368
4,0.59857428
5,0.55379064
6,0.63870556
7,0.36704307
8,0.53537168
9,0.53177414
10,0.88672762
11,0.32177887
12,0.51306513
13,0.30681433
14,0.32583676
15,0.44880274
16,0.39506145
17,0.43496210
18,0.55599372
19,0.57532934
20,0.91993734
21,0.36379394
22,0.57625383
23,0.35701548
24,0.39375387
25,0.60532291
26,0.55337532
27,0.58730309
28,0.37524384
29,0.54744920
30,0.54279204
31,0.93916238
32,0.32609437
33,0.50033326
34,0.30494078
35,0.40416419
36,0.41537194
37,0.38470476
38,0.44073926
39,0.50981557
40,0.56875918
41,0.79588282
42,0.37612716
43,0.58198490
44,0.32080295
45,0.39086483
46,0.59699197
47,0.54858359
48,0.52863881
49,0.37624528
50,0.53951616
51,0.54976327
52,0.90761973
53,0.33194847
54,0.51914287
55,0.30834680
56,0.36178542
57,0.44188490
58,0.38440683
59,0.41829404
60,0.55416035
61,0.55159377
62,0.93188816
63,0.35810833
64,0.55652865
65,0.33121704
66,0.39509133
67,0.60577745
68,0.54147453
69,0.54034161
70,0.36780978
71,0.53992984
72,0.54241942
73,0.85750110
74,0.31900477
75,0.50486034
76,0.29964679
77,0.31999300
78,0.43465644
79,0.40470410
80,0.48877169
81,0.53262772
82,0.57152176
83,0.81317286
84,0.37150237
85,0.57295144
86,0.32612064
87,0.39726961
88,0.61928570
89,0.53793939
90,0.61677553
91,0.36869663
92,0.54367933
93,0.53285987
94,0.89697073
95,0.32635142
96,0.51349915
97,0.30416657
98,0.33626737
99,0.43617698
100,0.39180933
101,0.48197112
102,0.53187751
103,0.56995575
104,0.89604273
105,0.36246422
106,0.56825233
107,0.31188072
108,0.38336721
109,0.60063133
110,0.53346508
111,0.51915311
112,0.36572369
113,0.51226136
114,0.54698999
115,0.82994256
116,0.32547816
117,0.51932374
118,0.30202702
119,0.30387142
120,0.43556257
121,0.40826590
122,0.51044955
123,0.57426039
124,0.56803184
125,0.82536059
126,0.31038095
127,0.42277907
128,0.38346049
129,0.29036179
130,0.43081275
131,0.33498822
132,0.28991432
133,0.34016072
134,0.30308338
135,0.37871750
136,0.59746469
137,0.54337346
138,0.39354155
139,0.59825676
140,0.36640440
141,0.39280336
142,0.58812758
143,0.33256265
144,0.42111232
145,0.51297691
146,0.56760477
147,0.90317137
