,effective-born-radii
0,0.35749302
1,0.57165301
2,0.27585025
3,0.38231768
4,0.59768865
5,0.54439208
6,0.55359650
7,0.35375267
8,0.43362600
9,0.55344556
10,0.90041640
11,0.32290605
12,0.52512259
13,0.31787859
14,0.36778424
15,0.43950030
16,0.42414271
17,0.54706424
18,0.59850544
19,0.56675672
20,0.93532446
21,0.35897484
22,0.57850129
23,0.27543476
24,0.38881540
25,0.60280585
26,0.52606236
27,0.58974548
28,0.32281395
29,0.31906530
30,0.51637832
31,0.88337498
32,0.31399807
33,0.52364969
34,0.31484993
35,0.36045213
36,0.44640566
37,0.41573261
38,0.52995913
39,0.60544951
40,0.56071450
41,0.89558196
42,0.36334799
43,0.57586097
44,0.29600161
45,0.38860743
46,0.60352633
47,0.56260665
48,0.80630618
49,0.34627812
50,0.41676860
51,0.53803549
52,0.83223718
53,0.31792348
54,0.51536041
55,0.30778539
56,0.31917045
57,0.42460968
58,0.41695353
59,0.46946850
60,0.60975350
61,0.56255507
62,0.89192235
63,0.35082977
64,0.55667198
65,0.27278673
66,0.38176162
67,0.58697110
68,0.53309978
69,0.78696685
70,0.33311418
71,0.33017663
72,0.54442914
73,0.77618484
74,0.31265919
75,0.51185072
76,0.31484892
77,0.39799464
78,0.43388337
79,0.41533627
80,0.49750806
81,0.60723632
82,0.56552669
83,0.96567002
84,0.35416745
85,0.56539091
86,0.27433045
87,0.38202645
88,0.61044902
89,0.51559569
90,0.47716544
91,0.32301273
92,0.30789846
93,0.52594404
94,0.87227612
95,0.31346422
96,0.50956702
97,0.31996090
98,0.42177658
99,0.43498440
100,0.43534753
101,0.54836181
102,0.62078893
103,0.55505027
104,0.96263189
105,0.36842203
106,0.57149957
107,0.28911064
108,0.38757461
109,0.61357277
110,0.54031575
111,0.58969291
112,0.32347518
113,0.31839607
114,0.51865910
115,0.84182615
116,0.30953587
117,0.50304166
118,0.31931424
119,0.37393958
120,0.42566494
121,0.42580875
122,0.51443625
123,0.61042156
124,0.57481349
125,0.86815972
126,0.29656343
127,0.40580239
128,0.37548501
129,0.28233796
130,0.29165370
131,0.43198295
132,0.28891562
133,0.39512033
134,0.31003196
135,0.36797986
136,0.42881517
137,0.59674436
138,0.38843398
139,0.61580467
140,0.34742569
141,0.32822220
142,0.56828214
143,0.30190371
144,0.33679879
145,0.42411715
146,0.54280893
147,0.88070176
