,x,y,z,atomic-charge,atomic-radius,effective-born-radii
0,16.088,12.056,20.412,1.00,0.00,0.35340897
1,15.502,11.131,20.557,1.00,0.00,0.57785708
2,15.344,13.248,20.407,1.00,0.00,0.27855561
3,16.985,12.059,21.688,1.00,0.00,0.38202814
4,17.412,11.065,21.834,1.00,0.00,0.60245376
5,16.182,12.330,22.835,1.00,0.00,0.53157393
6,15.409,12.848,22.599,1.00,0.00,0.53866687
7,18.115,13.143,21.646,1.00,0.00,0.34437631
8,17.578,14.094,21.654,1.00,0.00,0.40202028
9,18.897,12.882,22.835,1.00,0.00,0.53754526
10,18.296,12.977,23.577,1.00,0.00,0.86984039
11,18.897,13.046,20.377,1.00,0.00,0.31710525
12,19.590,12.206,20.467,1.00,0.00,0.52543095
13,18.072,12.835,19.085,1.00,0.00,0.32082066
14,17.487,13.726,18.849,1.00,0.00,0.37330025
15,16.938,11.824,19.250,1.00,0.00,0.44481572
16,18.843,12.608,17.796,1.00,0.00,0.43138734
17,19.515,13.420,17.510,1.00,0.00,0.54740677
18,18.078,12.537,17.020,1.00,0.00,0.61597540
19,19.674,11.472,17.963,1.00,0.00,0.57147060
20,19.113,10.777,18.315,1.00,0.00,0.87500045
21,11.679,14.936,19.431,1.00,0.00,0.35430266
22,10.628,15.060,19.111,1.00,0.00,0.56352128
23,12.409,16.180,19.641,1.00,0.00,0.27492175
24,11.779,14.194,20.764,1.00,0.00,0.38057391
25,11.295,13.218,20.690,1.00,0.00,0.59653302
26,11.008,14.903,21.751,1.00,0.00,0.54171347
27,11.447,15.756,21.766,1.00,0.00,0.58476859
28,13.231,13.940,21.192,1.00,0.00,0.33545756
29,13.684,14.907,21.420,1.00,0.00,0.38343076
30,13.102,13.228,22.412,1.00,0.00,0.53670787
31,12.582,13.847,22.930,1.00,0.00,0.82467106
32,13.886,13.214,20.052,1.00,0.00,0.31046802
33,13.458,12.211,20.110,1.00,0.00,0.51736838
34,13.751,13.759,18.689,1.00,0.00,0.31306966
35,14.233,14.736,18.612,1.00,0.00,0.34282291
36,12.296,14.106,18.432,1.00,0.00,0.43301355
37,14.281,12.948,17.533,1.00,0.00,0.42493137
38,15.320,12.699,17.758,1.00,0.00,0.49308747
39,14.074,13.411,16.566,1.00,0.00,0.62456080
40,13.491,11.704,17.452,1.00,0.00,0.57347379
41,12.567,11.949,17.541,1.00,0.00,0.87147902
42,12.245,20.185,19.166,1.00,0.00,0.35091315
43,11.816,21.200,19.084,1.00,0.00,0.56907757
44,13.693,20.199,19.479,1.00,0.00,0.28455381
45,11.506,19.654,20.356,1.00,0.00,0.38441380
46,10.447,19.737,20.103,1.00,0.00,0.59792389
47,11.819,20.415,21.541,1.00,0.00,0.54115852
48,12.719,20.739,21.465,1.00,0.00,0.59749901
49,11.839,18.224,20.539,1.00,0.00,0.33801993
50,12.899,18.234,20.804,1.00,0.00,0.38286524
51,11.131,17.810,21.661,1.00,0.00,0.53043571
52,11.285,18.562,22.238,1.00,0.00,0.80578566
53,11.646,17.356,19.314,1.00,0.00,0.30866237
54,10.567,17.252,19.177,1.00,0.00,0.50460433
55,12.163,17.931,18.009,1.00,0.00,0.32267314
56,13.243,17.782,17.957,1.00,0.00,0.38570865
57,11.864,19.397,17.941,1.00,0.00,0.44000267
58,11.546,17.188,16.904,1.00,0.00,0.42422855
59,11.773,16.126,17.018,1.00,0.00,0.52242612
60,12.016,17.418,15.946,1.00,0.00,0.62883615
61,10.076,17.418,16.724,1.00,0.00,0.58141084
62,9.934,18.236,17.206,1.00,0.00,0.81359229
63,17.086,22.612,19.202,1.00,0.00,0.34761261
64,17.753,23.455,18.948,1.00,0.00,0.55149033
65,17.856,21.591,19.813,1.00,0.00,0.28931046
66,15.957,23.188,20.128,1.00,0.00,0.39386759
67,15.534,23.963,19.484,1.00,0.00,0.59424832
68,16.630,23.700,21.292,1.00,0.00,0.55670864
69,16.999,22.951,21.765,1.00,0.00,0.71886256
70,14.977,22.117,20.455,1.00,0.00,0.36186441
71,15.613,21.362,20.921,1.00,0.00,0.46922013
72,13.980,22.660,21.320,1.00,0.00,0.54759672
73,14.310,22.955,22.172,1.00,0.00,0.92809581
74,14.365,21.546,19.229,1.00,0.00,0.30909296
75,13.600,22.251,18.897,1.00,0.00,0.49324680
76,15.301,21.239,18.052,1.00,0.00,0.30131797
77,15.680,20.224,18.182,1.00,0.00,0.29386674
78,16.446,22.121,17.917,1.00,0.00,0.41087542
79,14.625,21.146,16.682,1.00,0.00,0.41839996
80,13.819,20.417,16.787,1.00,0.00,0.50789179
81,15.247,20.862,15.830,1.00,0.00,0.61811494
82,14.052,22.402,16.276,1.00,0.00,0.57563895
83,13.585,22.262,15.449,1.00,0.00,0.95529000
84,21.534,19.716,19.813,1.00,0.00,0.35178718
85,22.614,19.494,19.882,1.00,0.00,0.55712991
86,20.701,18.538,20.143,1.00,0.00,0.27482897
87,21.399,20.691,20.974,1.00,0.00,0.39633417
88,21.970,21.604,20.789,1.00,0.00,0.61126953
89,21.666,20.078,22.208,1.00,0.00,0.53708394
90,22.349,19.406,22.146,1.00,0.00,0.78583549
91,19.953,21.099,21.021,1.00,0.00,0.34933464
92,19.412,20.207,21.345,1.00,0.00,0.41148416
93,19.809,22.209,21.998,1.00,0.00,0.54719069
94,18.919,22.116,22.345,1.00,0.00,0.80206133
95,19.342,21.631,19.612,1.00,0.00,0.31867696
96,19.742,22.634,19.447,1.00,0.00,0.52210785
97,19.725,20.758,18.439,1.00,0.00,0.31343358
