,x,y,z,atomic-charge,atomic-radius,effective-born-radii
0,21.434,15.140,18.075,1.00,0.00,0.35969287
1,22.511,15.388,18.073,1.00,0.00,0.56268738
2,20.804,16.356,17.499,1.00,0.00,0.32111096
3,21.190,13.970,17.126,1.00,0.00,0.39505452
4,21.700,13.091,17.525,1.00,0.00,0.60274562
5,21.748,14.344,15.855,1.00,0.00,0.56300258
6,21.517,15.272,15.780,1.00,0.00,0.68693485
7,19.685,13.713,16.988,1.00,0.00,0.35568237
8,19.223,14.524,16.421,1.00,0.00,0.50262547
9,19.580,12.510,16.199,1.00,0.00,0.53751699
10,18.651,12.270,16.214,1.00,0.00,0.56559114
11,19.090,13.408,18.376,1.00,0.00,0.30835986
12,19.508,12.467,18.738,1.00,0.00,0.50066695
13,19.469,14.475,19.490,1.00,0.00,0.29188626
14,19.009,15.450,19.319,1.00,0.00,0.24620751
15,20.938,14.772,19.424,1.00,0.00,0.42953671
16,19.015,14.116,20.921,1.00,0.00,0.39379064
17,17.928,14.202,20.863,1.00,0.00,0.41429192
18,19.471,14.791,21.649,1.00,0.00,0.55560651
19,19.447,12.727,21.201,1.00,0.00,0.56416270
20,19.419,12.408,22.106,1.00,0.00,0.97390954
21,20.929,20.536,18.018,1.00,0.00,0.35448085
22,21.279,21.554,18.266,1.00,0.00,0.55921360
23,19.481,20.500,17.731,1.00,0.00,0.30080844
24,21.645,19.990,16.831,1.00,0.00,0.39408778
25,22.723,20.142,16.918,1.00,0.00,0.60844446
26,21.142,20.638,15.655,1.00,0.00,0.54554972
27,20.192,20.773,15.706,1.00,0.00,0.63985701
28,21.399,18.462,16.770,1.00,0.00,0.35800338
29,20.441,18.349,16.257,1.00,0.00,0.51009845
30,22.315,18.014,15.755,1.00,0.00,0.55004932
31,22.164,18.566,14.984,1.00,0.00,0.87622222
32,21.519,17.607,17.957,1.00,0.00,0.31803445
33,22.570,17.370,18.140,1.00,0.00,0.50879160
34,20.903,18.237,19.169,1.00,0.00,0.28818194
35,19.822,18.172,19.034,1.00,0.00,0.24696750
36,21.298,19.725,19.169,1.00,0.00,0.41963167
37,21.285,17.776,20.571,1.00,0.00,0.40348661
38,20.748,16.860,20.824,1.00,0.00,0.47364722
39,21.053,18.572,21.282,1.00,0.00,0.57760683
40,22.712,17.529,20.558,1.00,0.00,0.56379819
41,23.219,18.258,20.193,1.00,0.00,0.87671971
42,15.995,22.651,18.454,1.00,0.00,0.35018118
43,15.379,23.537,18.692,1.00,0.00,0.56715114
44,15.238,21.499,18.181,1.00,0.00,0.28704942
45,16.833,23.053,17.315,1.00,0.00,0.38446384
46,17.429,23.944,17.523,1.00,0.00,0.59570518
47,15.926,23.404,16.155,1.00,0.00,0.54882189
48,15.611,22.586,15.764,1.00,0.00,0.78741292
49,17.812,21.935,17.013,1.00,0.00,0.35132043
50,17.267,20.999,16.878,1.00,0.00,0.45181596
51,18.490,22.289,15.770,1.00,0.00,0.54087058
52,17.929,21.984,15.054,1.00,0.00,0.91086844
53,18.800,21.752,18.072,1.00,0.00,0.31557892
54,19.561,22.535,18.099,1.00,0.00,0.50560940
55,18.064,21.523,19.479,1.00,0.00,0.29730612
56,17.618,20.526,19.517,1.00,0.00,0.25706850
57,16.897,22.505,19.668,1.00,0.00,0.43842756
58,18.936,21.584,20.648,1.00,0.00,0.40159081
59,19.548,20.680,20.645,1.00,0.00,0.45732168
60,18.475,21.590,21.638,1.00,0.00,0.59933111
61,19.776,22.720,20.549,1.00,0.00,0.55915786
62,20.307,22.814,21.343,1.00,0.00,0.97439387
63,11.717,19.561,18.391,1.00,0.00,0.35031544
64,10.643,19.311,18.451,1.00,0.00,0.55255274
65,12.511,18.344,17.997,1.00,0.00,0.28173302
66,11.805,20.627,17.419,1.00,0.00,0.38881281
67,11.256,21.510,17.753,1.00,0.00,0.59712748
68,11.303,20.090,16.141,1.00,0.00,0.54518751
69,11.450,19.142,16.175,1.00,0.00,0.52613419
70,13.209,21.045,17.202,1.00,0.00,0.35388652
71,13.876,20.243,16.881,1.00,0.00,0.46552260
72,13.175,22.058,16.209,1.00,0.00,0.53961707
73,12.617,21.713,15.507,1.00,0.00,0.85506686
74,13.862,21.568,18.460,1.00,0.00,0.31638423
75,13.544,22.564,18.775,1.00,0.00,0.51202639
76,13.610,20.603,19.592,1.00,0.00,0.29126855
77,14.215,19.711,19.420,1.00,0.00,0.24827539
78,12.171,20.138,19.655,1.00,0.00,0.42711853
79,13.972,21.113,20.998,1.00,0.00,0.40488891
80,15.056,21.237,21.053,1.00,0.00,0.48049186
