,effective-born-radii
0,0.36068223
1,0.57478623
2,0.28765790
3,0.38889275
4,0.60030376
5,0.55313871
6,0.79728094
7,0.34081161
8,0.40217818
9,0.53323875
10,0.87720794
11,0.30536831
12,0.50019625
13,0.29445153
14,0.25658172
15,0.42893426
16,0.39477255
17,0.42137040
18,0.59030685
19,0.55332430
20,0.94133685
21,0.35088554
22,0.56233603
23,0.27040990
24,0.38133870
25,0.59463706
26,0.53455905
27,0.89389872
28,0.33605416
29,0.33938105
30,0.54614587
31,0.90784563
32,0.31712734
33,0.51692114
34,0.30153736
35,0.30597239
36,0.41680750
37,0.42398133
38,0.51635235
39,0.60969616
40,0.56537426
41,0.90839257
42,0.34465098
43,0.55905112
44,0.26979281
45,0.38718305
46,0.59884825
47,0.53859186
48,0.52125863
49,0.32641911
50,0.35416133
51,0.51947601
52,0.91036442
53,0.30037475
54,0.49201481
55,0.30238750
56,0.30390936
57,0.41920008
58,0.42186115
59,0.51753283
60,0.62673746
61,0.56532901
62,0.89607487
63,0.34736673
64,0.55775736
65,0.27294155
66,0.38141744
67,0.60623995
68,0.54013958
69,0.64134164
70,0.34743429
71,0.39671773
72,0.53493954
73,0.87345944
74,0.30805565
75,0.51324479
76,0.29921741
77,0.27932568
78,0.42727208
79,0.42020230
80,0.50546525
81,0.58708232
82,0.57016756
83,0.89856179
84,0.35319433
85,0.56925700
86,0.28304991
87,0.39034249
88,0.59976149
89,0.54648644
90,0.65150524
91,0.34232683
92,0.42185268
93,0.53746424
94,0.88615184
95,0.31137880
96,0.50759328
97,0.30238822
98,0.28311604
99,0.43378381
100,0.42129663
101,0.51348760
102,0.60591636
103,0.55962052
104,0.95015661
105,0.35598241
106,0.55733008
107,0.27449732
108,0.39291736
109,0.61427313
110,0.54200205
111,0.56141848
112,0.34339941
113,0.42380789
114,0.53526933
115,0.90738807
116,0.30969173
117,0.50776690
118,0.29780082
119,0.25657026
120,0.42635351
121,0.40069754
122,0.45856540
123,0.59479552
124,0.56186355
125,0.90205662
126,0.47431357
127,0.61775132
128,0.59232983
129,0.66604223
130,0.38015270
131,0.51569266
132,0.53036813
133,0.25664028
134,0.26733633
135,0.26612632
136,0.22320396
137,0.23066028
138,0.24063800
139,0.24312453
140,0.28034282
141,0.24782930
142,0.34435776
143,0.35894821
144,0.57701462
145,0.36336884
