,effective-born-radii
0,0.35147552
1,0.56183208
2,0.28921149
3,0.38774405
4,0.60222615
5,0.54935963
6,0.60096336
7,0.36036592
8,0.48388179
9,0.54792449
10,0.86663724
11,0.31159510
12,0.50626878
13,0.29033147
14,0.24527864
15,0.42477850
16,0.39765236
17,0.46112395
18,0.56663579
19,0.56947711
20,0.88351967
21,0.36151688
22,0.57625407
23,0.29139628
24,0.39235255
25,0.60505021
26,0.53505030
27,0.54970522
28,0.35279956
29,0.48281453
30,0.53427087
31,0.86823839
32,0.30763914
33,0.50047505
34,0.28870059
35,0.24316884
36,0.42804216
37,0.39014587
38,0.44409900
39,0.53141304
40,0.57034603
41,0.87779554
42,0.35790742
43,0.57541499
44,0.31111202
45,0.40125118
46,0.62097864
47,0.55132898
48,0.77511486
49,0.35731612
50,0.47520409
51,0.53539674
52,0.89343577
53,0.31360914
54,0.50363120
55,0.28573019
56,0.24139546
57,0.42112046
58,0.37943100
59,0.40520289
60,0.50770802
61,0.56545698
62,0.95074933
63,0.35029837
64,0.55684242
65,0.29011367
66,0.38960664
67,0.60395293
68,0.54774099
69,0.60665276
70,0.35701938
71,0.49464450
72,0.54773427
73,0.92346632
74,0.31804083
75,0.51665338
76,0.28434661
77,0.23817691
78,0.41094888
79,0.37638515
80,0.39593061
81,0.53125460
82,0.55489084
83,0.95201026
84,0.36368772
85,0.58154935
86,0.28276797
87,0.39397567
88,0.60554424
89,0.53968234
90,0.61861371
91,0.35068845
92,0.46156353
93,0.53875346
94,0.87450057
95,0.31256655
96,0.50790549
97,0.29534007
98,0.24926061
99,0.45397167
100,0.38351605
101,0.44695944
102,0.56924839
103,0.56970565
104,0.84754665
105,0.35583633
106,0.56055582
107,0.29462913
108,0.39326262
109,0.60356031
110,0.55360056
111,0.66335831
112,0.34843975
113,0.47247699
114,0.53504567
115,0.85889422
116,0.31135580
117,0.50329877
118,0.29248600
119,0.24526993
120,0.43009279
121,0.39552193
122,0.43112422
123,0.55813954
124,0.56487798
125,0.96751002
126,0.42929223
127,0.55675449
128,0.60182221
129,0.36737256
130,0.47302289
131,0.55541749
132,0.30683749
133,0.34863196
134,0.46944399
135,0.23518369
136,0.24047251
137,0.27006252
138,0.21025346
139,0.21559548
140,0.21829955
141,0.24370931
142,0.26391426
143,0.25071095
144,0.38214401
145,0.45187955
146,0.57358328
147,0.44376518
148,0.49496709
149,0.65396807
150,0.66857523
151,0.64677612
