,x,y,z,atomic-charge,atomic-radius,effective-born-radii
0,13.939,12.529,18.517,1.00,0.00,0.35834110
1,12.868,12.346,18.316,1.00,0.00,0.55977365
2,14.183,13.832,19.071,1.00,0.00,0.28839601
3,14.289,11.612,19.662,1.00,0.00,0.38968042
4,14.131,10.573,19.367,1.00,0.00,0.60595173
5,13.421,11.885,20.710,1.00,0.00,0.54346297
6,13.437,12.844,20.677,1.00,0.00,0.53936316
7,15.776,11.829,20.098,1.00,0.00,0.35810922
8,15.844,12.871,20.418,1.00,0.00,0.46208076
9,15.965,10.927,21.172,1.00,0.00,0.55111769
10,16.792,11.179,21.588,1.00,0.00,0.79560737
11,16.783,11.527,19.028,1.00,0.00,0.31968253
12,16.892,10.468,18.784,1.00,0.00,0.52104411
13,16.331,12.263,17.743,1.00,0.00,0.29778593
14,16.569,13.295,18.010,1.00,0.00,0.26221809
15,14.867,12.147,17.495,1.00,0.00,0.42598512
16,16.954,11.852,16.402,1.00,0.00,0.41065911
17,17.959,12.277,16.444,1.00,0.00,0.48768374
18,16.425,12.352,15.588,1.00,0.00,0.59792926
19,16.943,10.459,16.185,1.00,0.00,0.56569489
20,17.462,10.222,15.413,1.00,0.00,0.94758231
21,12.430,17.622,19.016,1.00,0.00,0.35496478
22,11.783,18.514,18.943,1.00,0.00,0.55501625
23,13.765,18.073,19.415,1.00,0.00,0.27682056
24,11.818,16.612,19.964,1.00,0.00,0.39075906
25,10.898,16.231,19.517,1.00,0.00,0.60316212
26,11.631,17.144,21.288,1.00,0.00,0.54014268
27,10.968,17.835,21.223,1.00,0.00,0.91965001
28,12.768,15.461,20.140,1.00,0.00,0.35235629
29,13.704,15.805,20.586,1.00,0.00,0.46486873
30,12.092,14.580,21.004,1.00,0.00,0.53674124
31,11.944,15.043,21.831,1.00,0.00,0.87722084
32,13.092,14.713,18.796,1.00,0.00,0.31243810
33,12.208,14.114,18.569,1.00,0.00,0.50893098
34,13.494,15.792,17.818,1.00,0.00,0.29786402
35,14.448,16.187,18.174,1.00,0.00,0.25444823
36,12.469,16.944,17.733,1.00,0.00,0.44519704
37,13.670,15.110,16.517,1.00,0.00,0.39604263
38,14.499,14.399,16.534,1.00,0.00,0.44285964
39,13.963,15.849,15.768,1.00,0.00,0.58345529
40,12.507,14.427,16.126,1.00,0.00,0.56248887
41,12.778,13.957,15.334,1.00,0.00,0.93979670
42,16.111,21.544,19.591,1.00,0.00,0.36095413
43,16.458,22.585,19.722,1.00,0.00,0.57230384
44,17.284,20.667,19.683,1.00,0.00,0.27135819
45,15.157,21.270,20.781,1.00,0.00,0.39058017
46,14.307,21.955,20.775,1.00,0.00,0.61118344
47,15.896,21.329,21.974,1.00,0.00,0.52764502
48,16.793,21.005,21.864,1.00,0.00,0.55288386
49,14.632,19.870,20.756,1.00,0.00,0.33554950
50,15.476,19.189,20.887,1.00,0.00,0.34063257
51,13.650,19.600,21.743,1.00,0.00,0.52505157
52,14.139,18.973,22.281,1.00,0.00,0.83036902
53,14.012,19.554,19.431,1.00,0.00,0.30892880
54,13.087,20.128,19.349,1.00,0.00,0.51138465
55,14.950,19.882,18.282,1.00,0.00,0.29166747
56,15.795,19.189,18.301,1.00,0.00,0.25839567
57,15.318,21.327,18.375,1.00,0.00,0.44238467
58,14.245,19.746,16.863,1.00,0.00,0.41343148
59,14.208,18.667,16.701,1.00,0.00,0.47842898
60,14.938,20.215,16.160,1.00,0.00,0.59269632
61,13.001,20.522,16.821,1.00,0.00,0.56726968
62,13.205,21.438,17.022,1.00,0.00,0.90670375
63,21.384,20.328,19.347,1.00,0.00,0.35339345
64,22.444,20.568,19.151,1.00,0.00,0.56996508
65,21.118,18.972,19.666,1.00,0.00,0.27190558
66,20.912,21.238,20.507,1.00,0.00,0.38952381
67,21.117,22.303,20.387,1.00,0.00,0.60908205
68,21.527,20.873,21.754,1.00,0.00,0.54323998
69,21.645,19.943,21.547,1.00,0.00,0.53061577
70,19.378,21.087,20.673,1.00,0.00,0.33872029
71,19.210,20.072,21.038,1.00,0.00,0.39582288
72,18.937,22.059,21.691,1.00,0.00,0.53334405
73,18.666,21.606,22.493,1.00,0.00,0.87977214
74,18.583,21.265,19.380,1.00,0.00,0.31357289
75,18.439,22.336,19.220,1.00,0.00,0.51957959
76,19.220,20.386,18.232,1.00,0.00,0.29061571
77,19.059,19.316,18.375,1.00,0.00,0.25112999
78,20.663,20.708,18.119,1.00,0.00,0.43461771
79,18.635,20.812,16.876,1.00,0.00,0.40026348
80,17.572,20.565,16.819,1.00,0.00,0.45614505
81,19.111,20.265,16.060,1.00,0.00,0.58777141
82,18.627,22.205,16.695,1.00,0.00,0.56181900
83,19.514,22.512,16.496,1.00,0.00,0.90148415
84,22.938,15.261,19.352,1.00,0.00,0.35767486
85,23.703,14.487,19.159,1.00,0.00,0.57234828
86,21.642,14.697,19.889,1.00,0.00,0.29050834
87,23.539,16.201,20.418,1.00,0.00,0.38924341
88,24.544,16.545,20.166,1.00,0.00,0.60631893
89,23.625,15.480,21.650,1.00,0.00,0.54549296
90,22.758,15.097,21.803,1.00,0.00,0.67720789
91,22.615,17.404,20.690,1.00,0.00,0.34901541
92,21.725,17.162,21.275,1.00,0.00,0.45104847
93,23.466,18.223,21.457,1.00,0.00,0.53793043
94,23.746,17.791,22.268,1.00,0.00,0.88783948
95,22.243,18.049,19.368,1.00,0.00,0.30568515
96,23.114,18.578,18.976,1.00,0.00,0.49633679
97,21.705,17.178,18.262,1.00,0.00,0.28526079
98,20.722,16.826,18.584,1.00,0.00,0.24345170
99,22.625,16.051,18.153,1.00,0.00,0.40883561
100,21.606,17.766,16.840,1.00,0.00,0.39949519
101,20.749,18.436,16.740,1.00,0.00,0.46506712
102,21.420,16.955,16.132,1.00,0.00,0.57176653
103,22.935,18.407,16.583,1.00,0.00,0.56565426
104,22.885,19.300,16.932,1.00,0.00,0.78044294
105,19.288,11.249,19.140,1.00,0.00,0.35418922
106,18.924,10.270,18.779,1.00,0.00,0.55694621
107,18.114,12.096,19.485,1.00,0.00,0.30385553
108,20.261,11.193,20.325,1.00,0.00,0.38937637
109,21.008,10.497,19.938,1.00,0.00,0.60004866
110,19.552,10.509,21.392,1.00,0.00,0.55362397
111,19.404,9.611,21.087,1.00,0.00,0.91470183
112,20.781,12.556,20.700,1.00,0.00,0.36379135
113,19.913,13.117,21.052,1.00,0.00,0.48061417
114,21.754,12.331,21.726,1.00,0.00,0.55670074
115,21.845,13.089,22.308,1.00,0.00,0.86983225
116,21.416,13.277,19.474,1.00,0.00,0.31554629
117,22.332,12.790,19.131,1.00,0.00,0.51278170
118,20.524,13.213,18.188,1.00,0.00,0.29354154
119,19.625,13.821,18.315,1.00,0.00,0.25995161
120,20.043,11.818,17.962,1.00,0.00,0.42849070
121,21.122,13.645,16.854,1.00,0.00,0.40445594
122,21.142,14.728,16.715,1.00,0.00,0.48387138
123,20.547,13.144,16.074,1.00,0.00,0.59090636
124,22.414,13.137,16.690,1.00,0.00,0.55498986
125,22.421,12.179,16.747,1.00,0.00,0.88735811
126,18.338,16.668,21.845,1.00,0.00,0.40799948
127,17.499,17.290,22.503,1.00,0.00,0.53486868
128,19.524,16.850,22.021,1.00,0.00,0.48079103
129,17.872,15.816,20.705,1.00,0.00,0.32972022
130,16.860,15.454,20.900,1.00,0.00,0.45873959
131,18.563,14.989,20.528,1.00,0.00,0.36855573
132,17.727,16.667,19.415,1.00,0.00,0.22507884
133,16.903,17.363,19.583,1.00,0.00,0.23133842
134,18.600,17.284,19.191,1.00,0.00,0.22022081
135,17.421,15.962,18.065,1.00,0.00,0.24860035
136,16.513,15.366,18.177,1.00,0.00,0.24400594
137,18.253,15.301,17.812,1.00,0.00,0.28589232
138,17.245,16.985,16.978,1.00,0.00,0.35866368
139,16.305,17.537,17.039,1.00,0.00,0.39506586
140,17.333,16.494,16.007,1.00,0.00,0.58336558
141,18.067,17.698,17.064,1.00,0.00,0.39107603
