,x,y,z,atomic-charge,atomic-radius,effective-born-radii
0,20.339,12.670,17.868,1.00,0.00,0.36854063
1,21.341,12.205,17.858,1.00,0.00,0.58447063
2,20.466,14.076,17.784,1.00,0.00,0.29900816
3,19.591,12.097,16.648,1.00,0.00,0.39145605
4,19.405,11.046,16.879,1.00,0.00,0.59636355
5,20.298,12.175,15.385,1.00,0.00,0.56061931
6,20.448,13.119,15.293,1.00,0.00,0.77522227
7,18.292,12.801,16.515,1.00,0.00,0.35753289
8,18.352,13.892,16.513,1.00,0.00,0.44610931
9,17.631,12.248,15.318,1.00,0.00,0.54355481
10,18.273,12.348,14.612,1.00,0.00,0.86268944
11,17.346,12.532,17.694,1.00,0.00,0.31583980
12,17.104,11.468,17.651,1.00,0.00,0.51612915
13,18.063,12.927,19.018,1.00,0.00,0.29648792
14,18.225,14.007,18.997,1.00,0.00,0.24928676
15,19.441,12.307,18.982,1.00,0.00,0.44444406
16,17.440,12.670,20.350,1.00,0.00,0.39462686
17,16.602,13.368,20.401,1.00,0.00,0.43397201
18,18.079,12.733,21.233,1.00,0.00,0.57869648
19,16.958,11.313,20.346,1.00,0.00,0.55674073
20,16.859,10.983,21.242,1.00,0.00,0.94434757
21,22.911,17.364,18.908,1.00,0.00,0.35796637
22,23.758,18.017,19.188,1.00,0.00,0.56941059
23,21.699,18.080,18.458,1.00,0.00,0.29758768
24,23.343,16.526,17.684,1.00,0.00,0.39254018
25,24.138,15.867,18.040,1.00,0.00,0.59354058
26,23.842,17.336,16.641,1.00,0.00,0.56170089
27,23.155,17.995,16.516,1.00,0.00,0.70933229
28,22.220,15.582,17.276,1.00,0.00,0.35922843
29,21.367,16.019,16.753,1.00,0.00,0.50848981
30,22.852,14.677,16.330,1.00,0.00,0.53967169
31,23.495,15.249,15.903,1.00,0.00,0.83803029
32,21.680,14.699,18.410,1.00,0.00,0.31789466
33,22.390,13.952,18.772,1.00,0.00,0.52203134
34,21.340,15.617,19.593,1.00,0.00,0.28745381
35,20.554,16.308,19.283,1.00,0.00,0.24385019
36,22.577,16.443,19.955,1.00,0.00,0.42892302
37,20.820,14.855,20.803,1.00,0.00,0.37861133
38,20.123,14.020,20.704,1.00,0.00,0.45855235
39,20.369,15.541,21.523,1.00,0.00,0.47429231
40,21.988,14.323,21.335,1.00,0.00,0.56676520
41,22.600,15.062,21.340,1.00,0.00,0.77431389
42,19.907,21.799,19.322,1.00,0.00,0.35440954
43,19.725,22.851,19.610,1.00,0.00,0.55597794
44,18.722,21.253,18.627,1.00,0.00,0.27953530
45,21.054,21.789,18.313,1.00,0.00,0.39339477
46,21.909,22.301,18.760,1.00,0.00,0.61335840
47,20.606,22.467,17.141,1.00,0.00,0.53806973
48,19.670,22.269,17.056,1.00,0.00,0.51057080
49,21.327,20.359,17.813,1.00,0.00,0.35810461
50,20.478,19.940,17.270,1.00,0.00,0.47487136
51,22.511,20.474,17.034,1.00,0.00,0.54270964
52,22.427,21.328,16.604,1.00,0.00,0.87105683
53,21.744,19.487,19.003,1.00,0.00,0.31431832
54,22.733,19.879,19.250,1.00,0.00,0.51491941
55,20.687,19.572,20.111,1.00,0.00,0.29063557
