,effective-born-radii
0,0.35217025
1,0.56690820
2,0.27584844
3,0.38697264
4,0.60418618
5,0.53074720
6,0.55115859
7,0.32103402
8,0.33718540
9,0.50426752
10,0.84427341
11,0.30572518
12,0.51377535
13,0.29640941
14,0.26061967
15,0.43451436
16,0.40731407
17,0.46509520
18,0.59143253
19,0.56407631
20,0.96765041
21,0.36913725
22,0.57944869
23,0.29131371
24,0.39318626
25,0.60833149
26,0.53172381
27,0.53555617
28,0.35440463
29,0.43937385
30,0.54519846
31,0.87471043
32,0.31365943
33,0.51419648
34,0.30337428
35,0.26055567
36,0.45154849
37,0.39774890
38,0.45669310
39,0.58229322
40,0.56872914
41,0.92122987
42,0.36953070
43,0.58703093
44,0.37116365
45,0.39472524
46,0.60645278
47,0.55008495
48,0.69038986
49,0.35722843
50,0.50387128
51,0.52773022
52,0.89055389
53,0.32955641
54,0.53523032
55,0.30234391
56,0.32818905
57,0.43805771
58,0.39338085
59,0.47729670
60,0.53736613
61,0.57856021
62,0.87242831
63,0.35735702
64,0.56691140
65,0.34847073
66,0.39868294
67,0.61233225
68,0.54909823
69,0.58712216
70,0.37287161
71,0.54899121
72,0.54585225
73,0.85764766
74,0.33411581
75,0.52742396
76,0.31230442
77,0.39431460
78,0.44354466
79,0.38025304
80,0.35648814
81,0.54332398
82,0.56138934
83,0.80443164
84,0.35948856
85,0.54624720
86,0.30074177
87,0.38956379
88,0.60590571
89,0.54161411
90,0.62117592
91,0.36974577
92,0.53987657
93,0.53981872
94,0.83284604
95,0.32796645
96,0.52577137
97,0.30183092
98,0.29084949
99,0.43742635
100,0.40508025
101,0.45949132
102,0.60145770
103,0.55120853
104,0.88739338
105,0.35991657
106,0.58155400
107,0.26424062
108,0.38684163
109,0.60986404
110,0.52272977
111,0.45534166
112,0.34494803
113,0.39837858
114,0.54000490
115,0.88953739
116,0.30952904
117,0.49160916
118,0.30892406
119,0.32033809
120,0.43842867
121,0.41879271
122,0.53002985
123,0.61884482
124,0.55294439
125,0.89153273
126,0.35511137
127,0.56159285
128,0.26092031
129,0.38009833
130,0.61199191
131,0.51521924
132,0.48297474
133,0.30657724
134,0.26471798
135,0.50569188
136,0.77829587
137,0.31122599
138,0.52087358
139,0.29313519
140,0.26071520
141,0.43684322
142,0.41306428
143,0.52125981
144,0.58197736
145,0.57829001
146,0.76691872
147,0.41392434
148,0.49171878
149,0.54593894
150,0.41400693
151,0.59688428
152,0.60698939
153,0.32687337
154,0.31323204
155,0.40987135
156,0.27152537
157,0.24773819
158,0.27646635
159,0.42970964
160,0.43371238
161,0.66376861
162,0.46937169
163,0.47639674
164,0.27959261
165,0.40997039
166,0.30928919
167,0.38916580
