,effective-born-radii
0,0.35894320
1,0.55792164
2,0.30657018
3,0.39342792
4,0.60295929
5,0.55199169
6,0.65998365
7,0.37205413
8,0.53858227
9,0.55084703
10,0.85431360
11,0.31508544
12,0.50075293
13,0.29366944
14,0.25784292
15,0.41250933
16,0.39348779
17,0.40693528
18,0.56032249
19,0.55522677
20,0.89328508
21,0.35471564
22,0.56503826
23,0.31112829
24,0.39101535
25,0.59855536
26,0.54735548
27,0.76694218
28,0.36621077
29,0.52802050
30,0.53818516
31,0.93242527
32,0.31441782
33,0.50685981
34,0.29023277
35,0.25326567
36,0.42023988
37,0.40109252
38,0.45827734
39,0.57218614
40,0.53187277
41,0.89040591
42,0.35887312
43,0.56137678
44,0.30470864
45,0.39538658
46,0.60397845
47,0.54379013
48,0.51367239
49,0.36986722
50,0.51980786
51,0.54215853
52,0.92452483
53,0.31834925
54,0.51536752
55,0.29325566
56,0.26070832
57,0.43988390
58,0.36232224
59,0.33140460
60,0.53339152
61,0.54703406
62,0.75659023
63,0.35222099
64,0.55310408
65,0.31993475
66,0.39507700
67,0.61462500
68,0.53736213
69,0.56521907
70,0.36856933
71,0.51083463
72,0.54459045
73,0.89365575
74,0.32142268
75,0.51208891
76,0.29202479
77,0.26289818
78,0.41656690
79,0.40791538
80,0.48873374
81,0.56847649
82,0.56881314
83,0.87660510
84,0.35566927
85,0.55640966
86,0.29591087
87,0.38689509
88,0.60005727
89,0.54307890
90,0.52657919
91,0.37127539
92,0.53631328
93,0.54212549
94,0.88238871
95,0.31423374
96,0.49768381
97,0.29549601
98,0.26873143
99,0.43434071
100,0.39088859
101,0.43540206
102,0.58342088
103,0.55929158
104,0.86951084
105,0.37393698
106,0.58164197
107,0.32189410
108,0.39670308
109,0.61727284
110,0.53105424
111,0.66224415
112,0.35717083
113,0.49244853
114,0.53204665
115,0.91055529
116,0.32488254
117,0.52262343
118,0.30927859
119,0.27726004
120,0.46842182
121,0.40998931
122,0.47301601
123,0.60669743
124,0.56475275
125,0.94913932
126,0.35324113
127,0.56298236
128,0.30636539
129,0.39126983
130,0.60115561
131,0.54225373
132,0.55863480
133,0.35922109
134,0.51605406
135,0.53579228
136,0.84776175
137,0.32697536
138,0.53179419
139,0.29848583
140,0.27326584
141,0.41389330
142,0.40373627
143,0.62276594
144,0.46415021
145,0.48563452
146,0.44766977
147,0.41726847
148,0.47435234
149,0.55244266
150,0.38331066
151,0.54436428
152,0.55083108
153,0.24991593
154,0.24106009
155,0.28071702
156,0.31444399
157,0.43910962
158,0.37636490
159,0.61642296
160,0.30655155
161,0.42555287
162,0.24145580
163,0.29504207
