,effective-born-radii
0,0.34821308
1,0.54417435
2,0.29845641
3,0.39106038
4,0.59597703
5,0.55511728
6,0.67241737
7,0.36067669
8,0.50491986
9,0.53843169
10,0.54296062
11,0.31491851
12,0.49767152
13,0.31459570
14,0.34063075
15,0.42575352
16,0.42296110
17,0.51204896
18,0.61747748
19,0.56318830
20,0.83897814
21,0.36062932
22,0.56900318
23,0.28322581
24,0.39060695
25,0.60482539
26,0.54405538
27,0.55096147
28,0.35532155
29,0.44612217
30,0.54158266
31,0.82896134
32,0.31331140
33,0.50130663
34,0.32258282
35,0.38559901
36,0.44348322
37,0.43821757
38,0.52808023
39,0.62539322
40,0.56899187
41,0.89122698
42,0.36489810
43,0.57944880
44,0.29147225
45,0.38376438
46,0.60078755
47,0.53391897
48,0.50403631
49,0.33596478
50,0.37815682
51,0.52475450
52,0.83171302
53,0.31989708
54,0.52468374
55,0.30563249
56,0.29409242
57,0.44528351
58,0.41601814
59,0.53177592
60,0.58275437
61,0.57124661
62,0.85713576
63,0.35418387
64,0.54608239
65,0.29311001
66,0.38916242
67,0.60772044
68,0.54709644
69,0.70374104
70,0.35431266
71,0.48385849
72,0.53357890
73,0.89827696
74,0.31421914
75,0.50848099
76,0.29819029
77,0.28213124
78,0.42485781
79,0.39267210
80,0.41030957
81,0.59868345
82,0.56185941
83,0.91932374
84,0.35397571
85,0.55987979
86,0.29413285
87,0.39237708
88,0.59083497
89,0.55699759
90,0.58262432
91,0.35793295
92,0.46951984
93,0.52897058
94,0.89692668
95,0.31178804
96,0.50834279
97,0.30680891
98,0.31692045
99,0.43104353
100,0.41556121
101,0.51436659
102,0.61210262
103,0.56337728
104,0.95113558
105,0.35565159
106,0.56147269
107,0.31351093
108,0.39873199
109,0.61000771
110,0.53603970
111,0.48319488
112,0.36668869
113,0.52242609
114,0.53686135
115,0.96962998
116,0.31508814
117,0.50576811
118,0.31434505
119,0.35177920
120,0.44894235
121,0.41592134
122,0.48578105
123,0.61900971
124,0.55904693
125,0.94053901
126,0.36022680
127,0.57492094
128,0.30094938
129,0.39018130
130,0.61197212
131,0.53766377
132,0.89509720
133,0.35469643
134,0.49508894
135,0.53120572
136,0.89980554
137,0.31822241
138,0.49926078
139,0.32385701
140,0.39002181
141,0.43420003
142,0.42752477
143,0.53420562
144,0.61452328
145,0.56308329
146,0.90763009
147,0.36126100
148,0.56190186
149,0.43520460
150,0.33777774
151,0.45916995
152,0.48285281
153,0.31039445
154,0.29248260
155,0.33222797
156,0.54861966
157,0.33236473
158,0.51198000
159,0.82739333
