,effective-born-radii
0,0.34879526
1,0.54647660
2,0.29172492
3,0.39193569
4,0.61240895
5,0.53834189
6,0.54603002
7,0.35746775
8,0.47582373
9,0.53893299
10,0.90544691
11,0.31205105
12,0.50829417
13,0.29809309
14,0.27552304
15,0.42361905
16,0.41531396
17,0.48289542
18,0.56858029
19,0.56692088
20,0.85315977
21,0.36236695
22,0.56722342
23,0.29345490
24,0.39030175
25,0.59994877
26,0.53595808
27,0.50491193
28,0.35948473
29,0.50089283
30,0.54047912
31,0.93610810
32,0.31206229
33,0.50735587
34,0.30179128
35,0.28226387
36,0.44190065
37,0.40483209
38,0.47633484
39,0.59766343
40,0.55850879
41,0.93145901
42,0.36338325
43,0.57091144
44,0.28900814
45,0.39314416
46,0.61569580
47,0.53954159
48,0.53874981
49,0.35819293
50,0.47197787
51,0.53773457
52,0.83540738
53,0.31303206
54,0.50058484
55,0.30084974
56,0.27422297
57,0.42968950
58,0.40847162
59,0.48706696
60,0.60492370
61,0.56792912
62,0.92129443
63,0.35482031
64,0.56132990
65,0.27575980
66,0.39179878
67,0.60757321
68,0.54158087
69,0.53700903
70,0.34713974
71,0.44575551
72,0.53706028
73,0.87582456
74,0.31337057
75,0.50483998
76,0.30035004
77,0.27088403
78,0.43252345
79,0.41508476
80,0.49344581
81,0.60587081
82,0.56835949
83,0.95874613
84,0.35422609
85,0.56185915
86,0.27666207
87,0.38721355
88,0.60277280
89,0.53405672
90,0.87616341
91,0.34631089
92,0.41568620
93,0.52363042
94,0.90592615
95,0.30922088
96,0.50617263
97,0.29784933
98,0.25973755
99,0.43479575
100,0.39828314
101,0.46200186
102,0.58624265
103,0.56713094
104,0.88660383
105,0.36361384
106,0.56821456
107,0.27986758
108,0.39012525
109,0.60811282
110,0.53028947
111,0.85617711
112,0.34515454
113,0.42194574
114,0.53046579
115,0.55550042
116,0.30801307
117,0.50989339
118,0.30433232
119,0.28935224
120,0.44973175
121,0.41739214
122,0.50358285
123,0.60837752
124,0.56824560
125,0.86674719
126,0.36535095
127,0.57509669
128,0.29501610
129,0.39243703
130,0.61144162
131,0.54829867
132,0.68881914
133,0.35516136
134,0.46718902
135,0.53424920
136,0.56101974
137,0.31964711
138,0.52642228
139,0.30191863
140,0.25489227
141,0.43946518
142,0.39308729
143,0.45181445
144,0.57765236
145,0.55116050
146,0.95289981
147,0.32187325
148,0.25518191
149,0.53034593
150,0.33593903
151,0.40020809
152,0.55536446
153,0.24714419
154,0.26986775
155,0.25331434
156,0.28582175
157,0.31424379
158,0.41697195
159,0.32975019
160,0.38970057
161,0.28264339
162,0.29304659
163,0.44402122
164,0.24805334
165,0.26219612
166,0.26938009
167,0.33718781
168,0.56110690
169,0.42869962
170,0.55686329
171,0.88214889
