complex-name,gb-complex-etot,gb-complex-eelec,gb-complex-egb,gb-complex-esurf,gb-protein-etot,gb-protein-eelect,gb-protein-egb,gb-protein-esurf,gb-ligand-etot,gb-ligand-eelec,gb-ligand-egb,gb-ligand-esurf,pb-complex-etot,pb-complex-vdwaals,pb-complex-eelect,pb-complex-epb,pb-complex-ecavity,pb-protein-etot,pb-protein-vdwaals,pb-protein-eelec,pb-protein-epb,pb-protein-ecavity,pb-ligand-etot,pb-ligand-vdwaals,pb-ligand-eelec,pb-ligand-epb,pb-ligand-ecavity,ddg
10gs,-16145.919,-31052.1742,-3659.463,86.9041,-16042.9095,-30493.1722,-3672.7126,87.992,-115.6647,-416.8647,-146.3683,3.7375,-38748.103,-4143.6338,-31052.1742,-3639.199,86.9041,-38133.6991,-4077.8698,-30493.1722,-3650.6491,87.992,-565.1881,-10.1928,-416.8647,-141.8681,3.7375,-1.113778794
1a1e,-9777.1684,-13515.0036,-3349.3791,56.513,-9499.3955,-13366.9577,-3378.1703,56.2103,-320.1633,-96.6715,-69.1305,4.4598,-18709.7101,-1951.5817,-13515.0036,-3299.6378,56.513,-18544.8921,-1901.0486,-13366.9577,-3333.0961,56.2103,-173.519,-11.4008,-96.6715,-69.9064,4.4598,-1.075055682
1a30,-6925.5462,-14111.767,-2211.3839,48.1538,-6881.3365,-13675.6929,-2204.7807,49.2906,-243.7531,-381.1129,-265.2212,2.9765,-18061.711,-1837.5626,-14111.767,-2160.5351,48.1538,-17583.2732,-1777.04,-13675.6929,-2179.8309,49.2906,-645.4443,-9.3186,-381.1129,-257.9893,2.9765,-0.875169014
1a4k,-29413.8956,-61088.2896,-8626.6708,200.3571,-29189.9201,-60991.3946,-8719.3884,201.0223,-243.0495,74.3491,-101.7143,3.4485,-70665.774,-1141.4576,-61088.2896,-8636.3838,200.357,-70604.7723,-1084.3398,-60991.3946,-8730.0602,201.0222,-27.4572,-6.0182,74.3491,-99.2366,3.4485,-1.247664925
1a4r,-14436.7381,-26744.9283,-4516.3615,97.5691,-13647.6149,-27237.1053,-4529.6519,98.1097,-801.7543,583.2385,-93.9965,3.0538,-32899.722,-1787.6642,-26744.9283,-4464.6987,97.5691,-33350.8858,-1733.7572,-27237.1053,-4478.133,98.1097,486.8763,-5.8718,583.2385,-93.5441,3.0538,-1.137671691
1a4w,-10060.8335,-16007.773,-3500.4882,58.8049,-9898.7146,-15870.8142,-3517.0657,58.703,-190.923,-56.5969,-96.9684,4.4818,-18531.722,882.3856,-16007.773,-3465.1395,58.8049,-18344.9586,947.9481,-15870.8142,-3480.7955,58.703,-161.8844,-13.4556,-56.5969,-96.3138,4.4818,-1.067001869
1a69,-50899.5392,-98270.9992,-16522.1412,219.0797,-50847.0705,-98137.7363,-16584.9029,219.87,-73.4878,-43.8491,-50.6504,2.189,-128198.1561,-13930.1825,-98270.9992,-16216.0541,219.0797,-128115.241,-13888.7516,-98137.7363,-16308.6232,219.87,-97.0217,-2.8446,-43.8491,-52.517,2.189,-1.000624092
1a8i,-71310.5668,-116547.7743,-12056.4407,268.5345,-71234.9611,-116473.3084,-12077.7851,269.2525,-94.0834,-32.423,-41.8997,2.0055,-145503.53,-17386.0651,-116547.7743,-11838.225,268.5345,-145458.0355,-17349.3693,-116473.3084,-11904.6104,269.2525,-78.238,-2.9008,-32.423,-44.9196,2.0055,
1a94,-7065.4194,-14502.2577,-2016.7336,47.996,-6979.1838,-13864.3605,-2022.6154,49.8485,-295.7968,-573.0702,-276.7751,6.4163,-18251.4433,-1823.457,-14502.2577,-1973.7247,47.996,-17510.726,-1697.8693,-13864.3605,-1998.3447,49.8485,-865.5237,-26.0032,-573.0702,-272.8666,6.4163,-1.236308119
1a99,-24780.1502,-50719.6833,-7491.8373,131.0575,-24714.0074,-50167.3662,-7936.5222,131.4023,-61.4634,98.513,-203.3729,1.5623,-63003.448,-5129.3644,-50719.6833,-7285.4578,131.0575,-62802.5035,-5088.0074,-50167.3662,-7678.5322,131.4023,-99.077,-0.7778,98.513,-198.3746,1.5623,-1.044279705
1a9m,-7285.7362,-14118.3106,-1868.268,47.5517,-7107.1222,-13958.2357,-1902.1869,49.6412,-304.8133,-146.1119,-113.1787,4.8458,-17744.3946,-1818.228,-14118.3106,-1855.4077,47.5517,-17511.7123,-1719.5554,-13958.2357,-1883.5623,49.6411,-270.0804,-15.329,-146.1119,-113.4853,4.8458,-1.160649462
1aaq,-6882.8585,-14166.5915,-1878.807,47.2064,-6909.2116,-13675.7958,-1957.9994,49.2602,-81.2297,-419.8745,-106.2163,4.8508,-17765.5163,-1776.6506,-14166.5915,-1869.4805,47.2064,-17260.9385,-1689.4834,-13675.7958,-1944.9194,49.2602,-535.3355,-14.833,-419.8745,-105.4789,4.8508,-1.276939024
1add,-13432.4035,-25132.0808,-4378.7652,66.8278,-13547.1296,-25074.9721,-4595.1772,67.4707,-95.041,-15.0109,-38.417,2.3214,-32927.0383,-3585.8113,-25132.0808,-4275.974,66.8278,-33006.7662,-3539.7703,-25074.9721,-4459.4944,67.4707,-57.4822,-3.3511,-15.0109,-41.4416,2.3214,-1.144835955
1adl,-10801.8965,-19521.9474,-3125.8403,67.4533,-10734.4465,-19347.2225,-3228.4,68.8993,-78.8472,-8.5724,-79.5108,3.0749,-24805.6409,-2271.3582,-19521.9474,-3079.7886,67.4533,-24677.6564,-2224.0845,-19347.2225,-3175.2486,68.8993,-87.823,-3.8697,-8.5724,-78.4557,3.0749,-1.007378385
1ado,-52392.1519,-104780.2505,-13060.1308,261.8804,-52159.2951,-105183.9682,-12508.3237,262.1008,-373.2236,-1.2996,-288.9741,1.5971,-131630.3887,-14300.4404,-104780.2505,-12811.5781,261.8804,-131489.1486,-14279.5242,-105183.9682,-12287.757,262.1008,-287.1362,-0.5567,-1.2996,-286.877,1.5971,-1.075055682
