,Etot,1-4EEL,EELEC,EGB,ESURF,name
0,-9777.1684,7030.7012,-13515.0036,-3349.3791,56.513,1a1e-complex-gb.txt
0,-6966.1073,9311.7951,-14162.5719,-2163.4842,48.1538,1a30-complex-gb.txt
0,-50899.5392,63674.5215,-98270.9992,-16522.1412,219.0797,1a69-complex-gb.txt
0,-71310.5668,57025.1136,-116547.7743,-12056.4407,268.5345,1a8i-complex-gb.txt
0,-24648.9643,33257.5975,-50178.4584,-7859.1609,131.0575,1a99-complex-gb.txt
0,-13432.2295,16011.671,-25131.7093,-4379.019,66.8278,1add-complex-gb.txt
0,-52309.1459,65204.2399,-105277.3469,-12497.9193,261.8804,1ado-complex-gb.txt
0,-5804.817,4197.6715,-8275.5757,-1761.9833,35.0705,1afl-complex-gb.txt
0,-29280.0852,31997.2394,-55160.6492,-6255.8975,139.2221,1ai7-complex-gb.txt
0,-7175.3771,8828.165,-14133.4049,-1917.2993,47.1622,1ajv-complex-gb.txt
0,-7109.8141,8755.2302,-14014.2458,-1897.9794,47.1808,1ajx-complex-gb.txt
0,-18477.9866,17353.9684,-29688.6693,-6236.8029,93.5172,1amw-complex-gb.txt
0,-9729.2644,16127.6394,-19939.9608,-5978.7164,61.7734,1apv-complex-gb.txt
0,-15546.2482,22429.1265,-31696.8482,-6377.3325,98.806,1ax0-complex-gb.txt
0,-20125.4343,24286.7015,-39649.2574,-4858.2302,95.3518,1b05-complex-gb.txt
0,-20184.0008,24275.7229,-39589.0138,-4968.1653,97.4554,1b0h-complex-gb.txt
0,-20059.4313,24254.3554,-39671.8784,-4738.6936,96.7852,1b1h-complex-gb.txt
0,-20014.8847,24142.1411,-39297.6196,-4955.7109,96.3047,1b32-complex-gb.txt
0,-20144.6279,24314.5267,-39683.3306,-4873.1128,97.2888,1b3g-complex-gb.txt
0,-20211.1382,24303.383,-39681.224,-4929.998,96.7008,1b3h-complex-gb.txt
0,-20039.4431,24164.7162,-39137.8074,-5165.6549,99.3029,1b3l-complex-gb.txt
0,-20075.0352,24288.7661,-39497.3796,-4962.1566,95.735,1b40-complex-gb.txt
0,-20097.5997,24283.2102,-39329.132,-5147.9785,96.3005,1b46-complex-gb.txt
0,-20176.9661,24228.9625,-39535.9748,-4967.2553,97.3015,1b51-complex-gb.txt
0,-20038.922,24080.4638,-39462.5247,-4752.841,95.9799,1b52-complex-gb.txt
0,-28316.4218,25351.1806,-39540.0328,-14294.818,167.2484,1b55-complex-gb.txt
0,-20041.9851,24178.2715,-39639.8421,-4676.9745,96.5599,1b5i-complex-gb.txt
0,-20010.5861,24127.3967,-39384.6351,-4848.8745,95.5269,1b5j-complex-gb.txt
0,-20093.8601,24263.9502,-39536.1422,-4917.7278,96.0597,1b6h-complex-gb.txt
0,-20070.4166,24228.9606,-39443.8296,-4952.9942,97.4466,1b7h-complex-gb.txt
0,-11730.9875,10093.4182,-19065.1712,-2817.5497,58.3152,1b8n-complex-gb.txt
0,-19955.7721,24170.5365,-39302.6602,-4920.7667,97.1183,1b9j-complex-gb.txt
