,Etot,VDWAALS,EELEC,EPB,ECAVITY,name
0,-173.519,-11.4,-96.6715,-69.9064,4.4598,1a1e-lig-pb.txt
0,-569.6453,-9.31,-412.9918,-150.3115,2.9765,1a30-lig-pb.txt
0,-97.0217,-2.84,-43.8491,-52.517,2.189,1a69-lig-pb.txt
0,-78.238,-2.9,-32.423,-44.9196,2.0055,1a8i-lig-pb.txt
0,-6.0116,-0.77,-4.4308,-2.3654,1.5623,1a99-lig-pb.txt
0,-57.5177,-3.35,-15.0275,-41.4604,2.3214,1add-lig-pb.txt
0,-118.2512,-0.55,-74.2768,-45.0148,1.5971,1ado-lig-pb.txt
0,321.7106,-4.21,431.3242,-108.5691,3.1679,1afl-lig-pb.txt
0,-1.0452,-0.24,9.2827,-11.3836,1.2975,1ai7-lig-pb.txt
0,-221.6231,-10.7,-175.9483,-39.2874,4.316,1ajv-lig-pb.txt
0,-152.1987,-13.2,-105.9202,-37.1577,4.0817,1ajx-lig-pb.txt
0,352.4998,-5.14,419.9111,-65.0731,2.8113,1amw-lig-pb.txt
0,-250.1132,-13.86,-194.81,-45.5087,4.0719,1apv-lig-pb.txt
0,-160.3312,-2.35,-118.8853,-41.1442,2.0526,1ax0-lig-pb.txt
0,-365.4334,-9.37,-323.9215,-35.7066,3.5701,1b05-lig-pb.txt
0,-353.2612,-11.65,-310.3909,-35.5115,4.2939,1b0h-lig-pb.txt
0,-464.2753,-10.89,-357.4168,-100.1797,4.2143,1b1h-lig-pb.txt
0,-349.6189,-10.36,-306.2006,-36.9802,3.93,1b32-lig-pb.txt
0,-343.8371,-9.9,-307.1009,-30.612,3.7782,1b3g-lig-pb.txt
0,-454.7411,-11.53,-351.8235,-95.5257,4.1398,1b3h-lig-pb.txt
0,-347.057,-7.98,-307.6735,-34.7471,3.3527,1b3l-lig-pb.txt
0,-353.4243,-10.62,-310.8226,-35.9826,4.0099,1b40-lig-pb.txt
0,-321.2965,-9.72,-283.8901,-31.2606,3.5755,1b46-lig-pb.txt
0,-330.16,-9,-283.1829,-41.4668,3.4898,1b51-lig-pb.txt
0,-458.0271,-9.51,-354.0618,-98.0783,3.6239,1b52-lig-pb.txt
0,-437.6211,1.09,-277.7142,-163.7754,2.7733,1b55-lig-pb.txt
0,-352.2193,-10.23,-304.3561,-41.3567,3.727,1b5i-lig-pb.txt
0,-364.2528,-9.87,-313.0601,-45.1563,3.8357,1b5j-lig-pb.txt
0,-342.4641,-9.83,-304.862,-31.5224,3.754,1b6h-lig-pb.txt
0,-350.7381,-9.83,-310.873,-33.9706,3.9372,1b7h-lig-pb.txt
0,-49.6569,-3.43,-1.4346,-47.1219,2.3313,1b8n-lig-pb.txt
0,-347.8067,-9.86,-308.2159,-33.5688,3.8457,1b9j-lig-pb.txt
